course_id,sub_discipline_id,created_at
280,79,2020-02-25 11:19:06
258,33,2020-02-25 11:19:20
256,33,2020-02-25 11:19:48
692,25,2020-02-25 11:20:04
228,32,2020-02-25 11:26:49
221,31,2020-02-25 11:27:57
218,4,2020-02-25 11:28:21
217,26,2020-02-25 11:28:39
216,47,2020-02-25 11:28:53
215,25,2020-02-25 11:28:57
214,47,2020-02-25 11:29:02
213,51,2020-02-25 11:29:17
212,43,2020-02-25 11:29:26
211,4,2020-02-25 11:29:38
209,51,2020-02-25 11:29:42
691,43,2020-02-25 11:30:02
204,43,2020-02-25 11:30:21
202,59,2020-02-25 11:30:34
197,4,2020-02-25 11:31:13
196,4,2020-02-25 11:31:19
184,81,2020-02-25 11:32:12
183,47,2020-02-25 11:32:50
165,4,2020-02-25 11:33:16
161,51,2020-02-25 11:33:35
158,51,2020-02-25 11:34:51
148,10,2020-02-25 11:35:17
689,47,2020-02-25 11:35:52
138,4,2020-02-25 11:36:28
135,4,2020-02-25 11:36:42
132,28,2020-02-25 11:37:03
130,72,2020-02-25 11:37:24
756,72,2020-02-25 11:38:31
763,72,2020-02-25 11:38:37
130,38,2020-02-25 11:39:10
756,38,2020-02-25 11:39:18
763,38,2020-02-25 11:39:21
125,33,2020-02-25 11:42:28
125,49,2020-02-25 11:42:33
108,62,2020-02-25 11:42:42
695,59,2020-02-25 11:43:21
99,27,2020-02-25 11:43:26
97,75,2020-02-25 11:43:53
96,7,2020-02-25 11:44:05
87,26,2020-02-25 11:44:38
85,5,2020-02-25 11:45:56
685,5,2020-02-25 11:46:00
686,5,2020-02-25 11:46:02
77,62,2020-02-25 11:46:32
76,62,2020-02-25 11:46:37
75,29,2020-02-25 11:46:43
73,49,2020-02-25 11:47:06
72,8,2020-02-25 11:47:19
69,10,2020-02-25 11:48:32
67,38,2020-02-25 11:49:07
64,43,2020-02-25 11:49:43
688,43,2020-02-25 11:49:48
758,43,2020-02-25 11:49:52
71,97,2020-02-25 11:50:13
61,89,2020-02-25 11:50:33
60,4,2020-02-25 11:50:42
57,4,2020-02-25 11:50:44
54,2,2020-02-25 11:50:47
682,2,2020-02-25 11:51:01
53,63,2020-02-25 11:51:09
51,82,2020-02-25 11:51:19
50,74,2020-02-25 11:51:35
41,89,2020-02-25 11:51:55
38,2,2020-02-25 11:52:21
753,2,2020-02-25 11:52:41
36,90,2020-02-25 11:52:46
34,82,2020-02-25 11:52:56
32,4,2020-02-25 11:52:59
31,4,2020-02-25 11:53:13
29,77,2020-02-25 11:53:26
25,59,2020-02-25 11:53:37
142,30,2020-02-25 12:53:39
43,80,2020-02-25 12:57:19
61,80,2020-02-25 12:57:25
128,95,2020-02-25 13:00:40
40,6,2020-03-15 23:28:59
40,98,2020-03-15 23:29:01
1426,79,2020-03-24 20:00:00
1458,84,2020-04-07 16:07:31
1823,73,2020-06-08 15:53:36
1806,34,2020-06-11 17:53:03
1736,43,2020-07-01 14:40:02
68,10,2020-07-13 10:59:14
67,105,2020-07-13 11:05:35
1792,92,2020-10-09 12:01:31
1944,86,2020-10-29 13:50:01
141,31,2020-11-13 16:25:56
2245,25,2020-11-19 10:00:36
2496,114,2020-12-12 11:05:50
201,101,2021-01-05 22:53:43
135,101,2021-01-05 22:55:02
50,34,2021-01-13 15:10:51
29,102,2021-01-14 13:52:59
184,79,2021-01-28 16:25:42
184,120,2021-01-28 16:26:04
868,79,2021-01-28 16:34:46
868,81,2021-01-28 16:34:48
868,120,2021-01-28 16:34:53
2730,80,2021-01-28 16:37:26
2730,122,2021-01-28 16:37:41
1936,80,2021-01-28 22:12:46
1936,121,2021-01-28 22:12:50
43,121,2021-01-28 22:19:13
61,121,2021-01-28 22:19:33
584,126,2021-01-28 22:40:01
35,125,2021-01-28 22:40:27
25,124,2021-01-28 22:42:35
2229,127,2021-01-28 22:43:32
1403,127,2021-01-28 22:43:52
51,127,2021-01-28 22:44:00
34,127,2021-01-28 22:44:12
1737,80,2021-01-29 17:45:03
1419,80,2021-01-29 17:45:21
1327,80,2021-01-29 17:45:33
1187,80,2021-01-29 17:46:04
410,80,2021-01-29 17:46:28
409,80,2021-01-29 17:46:32
2746,33,2021-01-30 10:38:06
548,2,2021-02-01 14:55:27
677,5,2021-02-01 14:55:32
2001,4,2021-02-01 15:03:03
1792,128,2021-02-01 15:21:03
149,128,2021-02-01 15:22:36
2215,85,2021-02-01 16:24:56
2544,51,2021-02-01 22:43:40
2755,5,2021-02-02 09:27:19
2756,5,2021-02-02 09:27:21
2757,5,2021-02-02 09:27:23
714,10,2021-03-31 10:51:27
