discuss_id,user_id,challenge_id,dis_id,parent_discuss_id,root_discuss_id,reply_discuss_id,content,praises_count,created_at
88,26256,119.0,61.0,,,,老师，第五题我尝试了好久，改了好多次，但还是不对，只好看了参考答案，发现和我之前一次输入的一样，我只好复制粘贴，结果还是不对。现在已经耗时15个小时了。不知道该怎么解决了。,4,2017-10-11 13:10:06
90,26256,119.0,61.0,,,,"#第五题
print_(sinh(0.25))
print_((e**0.25-e**(-0.25))/2)",2,2017-10-11 13:17:23
91,26256,119.0,61.0,,,,"File ""1-2.py"", line 28
print_(sinh(0.25))
^
SyntaxError: invalid syntax",1,2017-10-11 13:20:07
94,27351,118.0,61.0,,,,最终结果保留的小数位数不同怎么办？,3,2017-10-11 16:00:01
96,26748,119.0,61.0,,,,"第二关第四题print_(sqrt((1+sqrt(5))/2+2)-(1+sqrt(5))/2)
实际输出：
File ""1-2.py"", line 25
print_(sqrt((1+sqrt(5))/2+2)-(1+sqrt(5))/2)
^
SyntaxError: invalid syntax",3,2017-10-11 18:48:28
97,26698,119.0,61.0,,,,"如何观察差异
",2,2017-10-11 20:00:45
100,26343,119.0,61.0,,,,"File ""1-2.py"", line 17
print_(pi/4)
^
SyntaxError: invalid syntax老师，这个是哪有问题，别人的d都过了",1,2017-10-11 20:49:20
102,26113,119.0,61.0,,,,"File ""1-2.py"", line 26
print_(math.sqrt(0.5*(1+math.sqrt(5))+2)-0.5*(1+math.sqrt(5)))
^
SyntaxError: invalid syntax
这是说我第26行代码有语法错误吗",1,2017-10-11 20:59:00
103,26113,119.0,61.0,,,,"print_(math.sqrt(0.5*(1+math.sqrt(5))+2)-0.5*(1+math.sqrt(5)))
这是我编的",0,2017-10-11 21:00:59
105,17157,409.0,143.0,,,366.0,右移符号错了,0,2017-10-11 23:04:19
106,26725,118.0,61.0,,,,"if 3**3+4**3+5**3==6**3
     print_(True);
else prin_（False）电脑不认这个代码。......",0,2017-10-12 08:47:00
112,26511,120.0,61.0,,,,为啥评测坏了，评测好久也没有结果一直在加载。,0,2017-10-12 11:58:03
113,26741,119.0,61.0,,,,"为什么感觉全输对了，结果实际输出出现File ""1-2.py"", line 18
print_(4atan(1/5)-atan(1/239))
^
SyntaxError: invalid syntax",1,2017-10-12 15:54:14
114,26741,119.0,61.0,,,,print_(4atan(1/5)-atan(1/239))第二关第二题这样错在哪,0,2017-10-12 16:00:18
115,26321,119.0,61.0,,,,4后面要心号,2,2017-10-12 16:05:58
116,27111,118.0,61.0,,,,第六题和第八题的代码是打在print（）里还是print外面？？,0,2017-10-12 16:38:31
117,27142,119.0,61.0,,,,评测结果一直不出来啊,0,2017-10-12 17:11:49
118,27006,118.0,61.0,,,,评测太慢，是否应该在评测时停止计时，6分多做完评测20分钟还没出结果。。。,0,2017-10-12 17:14:09
119,26596,118.0,61.0,,,,为什么没有评测结果,0,2017-10-12 17:17:42
120,27090,118.0,61.0,,,,评测怎么这么慢,1,2017-10-12 17:20:48
121,27044,119.0,61.0,,,,"ai......好慢
",1,2017-10-12 17:24:33
122,27129,119.0,61.0,,,,过了第一关没有经验和金币奖励,1,2017-10-12 17:25:25
124,26940,119.0,61.0,,,,评测有些慢,0,2017-10-12 17:31:04
125,27721,114.0,60.0,,,,"评测中
1分钟
。。
。。
。。
。。
。
30分钟
老哥，放我走吧，快哭了",5,2017-10-12 17:32:18
126,27721,114.0,60.0,,,,怎么样会不会,0,2017-10-12 17:32:43
128,27721,114.0,60.0,,,264.0,"能不能充钱买金币啊？
",5,2017-10-12 17:33:26
129,26520,119.0,61.0,,,,评测太慢了啊,0,2017-10-12 17:50:57
130,26619,118.0,61.0,,,,".
",0,2017-10-12 18:01:09
131,26327,119.0,61.0,,,,评测出不了结果啊,0,2017-10-12 19:14:15
132,26356,118.0,61.0,,,,"File ""1-1.py"", line 24
print(3**3+4**3+5**3==6**3)
^
SyntaxError: invalid syntax有啥错误吗",0,2017-10-12 19:22:52
133,26249,119.0,61.0,,,,"File ""1-2.py"", line 17
print_(π/4）
^
SyntaxError: invalid syntax
这是什么错误？",0,2017-10-12 19:24:43
134,26741,120.0,61.0,,,,公式怎么做啊,0,2017-10-12 19:28:16
135,26741,120.0,61.0,,,,求大神教,1,2017-10-12 19:49:14
136,26253,120.0,61.0,,,,"第三关第一问怎么做啊
",0,2017-10-12 19:52:06
138,26539,118.0,61.0,,,,"评测室什么鬼啊？？？？

",0,2017-10-12 20:00:22
140,26838,119.0,61.0,,,,"第2关！！！！！！！！！！！！
",1,2017-10-12 20:08:24
141,26538,118.0,61.0,,,,@华家辉  π不能这么弄，要打pi,0,2017-10-12 20:10:28
143,26244,118.0,61.0,,,,测试,0,2017-10-12 20:12:01
144,26401,118.0,61.0,,,,慢……,0,2017-10-12 20:17:17
145,26230,118.0,61.0,,,,"PCHJL
",0,2017-10-12 20:20:12
147,26419,120.0,61.0,,,,这评测真的有毒！O.O,0,2017-10-12 20:24:51
148,26470,119.0,61.0,,,,直接卡到系统崩溃了。。。。。。,1,2017-10-12 20:25:44
149,26542,119.0,61.0,,,,评测系统卡的爆炸,0,2017-10-12 20:31:33
150,26456,119.0,61.0,,,,cao,0,2017-10-12 20:32:01
152,26966,118.0,61.0,,,,这个太卡了，呜呜,0,2017-10-12 20:37:35
153,26244,119.0,61.0,,,,卡了mmp,0,2017-10-12 20:37:47
154,26505,119.0,61.0,,,,讨厌蓝色小圈圈,3,2017-10-12 20:38:44
156,26735,140.0,69.0,,,,"测评及其浪费时间！
",2,2017-10-12 20:41:23
157,26725,121.0,61.0,,,,"评测不了啊啊啊啊啊。
",1,2017-10-12 20:42:46
158,26244,119.0,61.0,,,,aaaaaaaaa,1,2017-10-12 20:46:20
159,26924,120.0,61.0,,,,日了狗了,1,2017-10-12 20:46:24
160,26542,119.0,61.0,,,,心态爆炸,1,2017-10-12 20:48:54
161,26478,119.0,61.0,,,,"开玩笑....
",1,2017-10-12 20:55:36
162,27610,114.0,60.0,,,,结束字符,0,2017-10-12 21:08:46
163,26346,119.0,61.0,,,,虽然很难，但是很有趣,0,2017-10-12 21:13:35
164,26725,121.0,61.0,,,,死活评测不了,0,2017-10-12 21:16:02
166,26197,119.0,61.0,,,,教员能不能把必读整成文档传一下,0,2017-10-12 21:22:57
167,26554,119.0,61.0,,,,print_(sinh(0.25))哪里出错了,1,2017-10-12 21:32:29
168,26510,119.0,61.0,,,,"File ""1-2.py"", line 23
print_(cos(2*pi/17)-(-1+sqrt(17)+sqrt(2*(17-sqrt(17)))+2*sqrt(17+3*sqrt(17)-sqrt(2*(17-sqrt(17))-2*sqrt(2*(17+sqrt(17))/16)
^
SyntaxError: invalid syntax
哪里错了?求救
急急急
",0,2017-10-12 21:34:54
169,26446,119.0,61.0,,,,print_(sinh(0.25))哪里错了,1,2017-10-12 21:57:55
170,26309,118.0,61.0,,,,print,0,2017-10-12 21:59:22
171,26813,118.0,61.0,,,,跟答案一样就是不正确，这是什么鬼,2,2017-10-12 22:03:59
172,27022,118.0,61.0,,,,"..
",0,2017-10-12 22:07:25
173,26426,120.0,61.0,,,,"F=9/5*temperature+32,第一题这样有错吗？",1,2017-10-12 23:24:18
174,26748,121.0,61.0,,,,教员，我的第四关输出数字全对，没有其他错误，但是测评结果一直显示数字输出错误，很急，在线等,1,2017-10-12 23:25:33
177,26551,119.0,61.0,,,,"第二关第五题第一个输入格式正确但是却显示错误，在spyder上验证后是对的，怎么办
",0,2017-10-12 23:37:54
178,26741,121.0,61.0,,,,在线求大神教第四关第二题,0,2017-10-12 23:59:46
179,26741,121.0,61.0,,,,r**3=d*p/pi*S第二题这样不对吗,0,2017-10-13 00:03:31
187,26278,118.0,61.0,,,198.0,教员，我打开实训平台后代码那一块是黑的，没有提示 print ，该怎么办,2,2017-10-13 10:26:48
188,26803,120.0,61.0,,,,第三关的第二题公式太小看不清 隐隐约约看到一个z 但是他没有给出z的值 显然没有z 请问老师那个是什么,0,2017-10-13 10:38:40
189,26649,119.0,61.0,,,,"File ""1-2.py"", line 21
print_(cos(2*pi/17))
^
SyntaxError: invalid syntax



怎会回事啊！这是题目的问题么     为什么是 print有问题呀",3,2017-10-13 11:14:55
190,26785,120.0,61.0,,,,"File ""1-3.py"", line 23
print_(fx)
^
SyntaxError: invalid syntax为什么是print有问题啊",2,2017-10-13 11:26:09
191,26405,118.0,61.0,,,,教员，为什么我填完了代码但是测试输出是空,2,2017-10-13 11:35:29
192,26618,118.0,61.0,,,197.0,实训平台第一关右侧代码区全黑，没法做题啊，14小时了……,2,2017-10-13 12:50:27
193,26551,119.0,61.0,,,,"...
",0,2017-10-13 13:22:11
194,26551,119.0,61.0,,,,.,0,2017-10-13 13:25:16
196,26551,119.0,61.0,,,,"要被这个平台气炸了
",0,2017-10-13 13:52:22
199,26597,118.0,61.0,,,,我的右侧代码区也是全黑，做不了,0,2017-10-13 15:58:32
200,26618,118.0,61.0,,,,教员，我点完评测后蓝色小圆圈转动几下就又回到评测前界面，没有评测结果，请问这正常吗？,0,2017-10-13 16:06:15
203,27047,118.0,61.0,,,,我的右侧也全黑，怎么办。。。。。。。。,1,2017-10-13 16:30:03
204,27047,118.0,61.0,,,,"二十个小时了。。。。。。
",0,2017-10-13 16:30:19
205,26446,119.0,61.0,,,,print_(sinh(0.25))这个到底哪里错了,0,2017-10-13 16:39:23
206,26403,119.0,61.0,,,,老师，求助啊！为啥我在第二关一直评测显示实际输出为空，这是怎么回事？,1,2017-10-13 16:44:58
207,26510,119.0,61.0,,,,"File ""1-2.py"", line 23
print_(cos(2*pi/17)-1/16*(-1+sqrt(17)+sqrt(2*(17-sqrt(17)))+2*sqrt(17+3*sqrt(17)-sqrt(2*(17-sqrt(17)))-2*sqrt(2*(17+sqrt(17))))))
^
SyntaxError: invalid syntax
我实在不知道哪里错了
教员，在spyder上这个可以

",0,2017-10-13 16:45:27
209,26244,121.0,61.0,,,,ca,0,2017-10-13 16:45:31
210,26310,121.0,61.0,,,,老师，为什么评测出的错误，我在改过以后还会一直评测该错误。请求指导。,0,2017-10-13 16:48:28
211,26788,119.0,61.0,,,2414.0,"File ""1-2.py"", line 23 print_(cos(2*pi/17-1/16(-1+sqrt(17)+sqrt(2*(17-17**0.5))+2*sqrt(17+3*17**0.5-sqrt(2*(17-17**0.5))-2*sqrt(2*(17+17*0.5)))) ^ SyntaxError: invalid syntax    老师，实在不知道哪里错了",0,2017-10-13 16:48:51
212,26510,119.0,61.0,,,213.0,教员，我改了编程后评测显示还是原来的，怎么办？,0,2017-10-13 16:49:18
214,26510,119.0,61.0,,,,"教员，重新点击无效啊！！！！QAQ
",0,2017-10-13 16:56:05
215,26510,119.0,61.0,,,,"好像是print有问题吧？
",0,2017-10-13 16:58:12
216,26597,118.0,61.0,,,,教员，我右侧一直是全黑，而且还在计时，能帮我一下吗,3,2017-10-13 17:03:16
217,26225,118.0,61.0,,,,我的右侧也全黑，急急急。。。。。,0,2017-10-13 17:04:35
218,26118,119.0,61.0,,,,教员你好，想问一下为什么和别人一样的还是一直评错，然后别人都过了,1,2017-10-13 17:13:31
219,26355,121.0,61.0,,,,在Spader上打的都没错，但系统一直评测为“空”，为什么,1,2017-10-13 18:39:55
220,26552,118.0,61.0,,,,"问一下，为什么我是黑屏
",0,2017-10-13 18:55:30
221,26613,120.0,61.0,,,,问一下，为什么我的系统评测结果是空啊？,2,2017-10-13 19:04:39
223,26618,118.0,61.0,,,,打完代码点评测没反应，真心尴尬,0,2017-10-13 19:24:00
224,26309,118.0,61.0,,,,"代码为空怎么办
",0,2017-10-13 19:24:14
225,26588,118.0,61.0,,,,为啥显示为空,2,2017-10-13 19:27:10
227,26108,120.0,61.0,,,,在spyder上是对的，为啥输出结果为空,1,2017-10-13 19:44:13
228,26108,120.0,61.0,,,,"老师，第三关的输出结果一直是空，是系统问题还是别的问题
",1,2017-10-13 19:53:33
229,27021,118.0,61.0,,,,"右边什么都没有
",0,2017-10-13 19:55:15
230,26508,118.0,61.0,,,,没有代码,0,2017-10-13 19:57:33
231,26203,119.0,61.0,,,,老师，为啥和答案一样但系统就是不识别？,1,2017-10-13 20:03:16
232,26229,120.0,61.0,,,,"File ""1-3.py"", line 33
print_(sinh)
^
SyntaxError: invalid syntax
这咋搞啊",0,2017-10-13 20:04:04
233,27147,118.0,61.0,,,,第一关答案明明正确，但是评测就是显示错误的答案，没法做题了。。。。,3,2017-10-13 20:06:03
234,26203,119.0,61.0,,,,"File ""1-2.py"", line 28
print_(sinh(0.25))
^
SyntaxError: invalid syntax",2,2017-10-13 20:06:38
235,26612,120.0,61.0,,,,蓝瘦。。。香菇。。。。输出总是为空。。。。。求教员教辅帮助,0,2017-10-13 20:06:39
236,26510,119.0,61.0,,,,教员，我把答案复制上去分析还是显示我之前的答案,1,2017-10-13 20:10:08
237,26427,140.0,69.0,,,300.0,老师我的代码老是出不来，一进去页面什么都没有，连题目的代码都没有,0,2017-10-13 20:13:42
238,27083,118.0,61.0,,,,没办法了，在软件上运行没问题，但在评测里面一直是空，还原重写换浏览器都没用,0,2017-10-13 20:13:46
239,26803,121.0,61.0,,,,"教员，为什么它设置好的print 会是无效代码  我没有修改他 File ""1-4.py"", line 57
 print_(dist)
 ^
SyntaxError: invalid syntax",0,2017-10-13 20:21:05
240,26997,118.0,61.0,,,,为什么评测不了，蓝瘦,1,2017-10-13 20:22:42
241,26244,121.0,61.0,,,,ai,0,2017-10-13 20:24:15
242,26596,121.0,61.0,,,,"教员，为什么它设置好的print 会是无效代码 我没有修改他 File ""1-4.py"", line 57 print_(dist) ^ SyntaxError: invalid syntax",1,2017-10-13 20:27:57
243,27022,118.0,61.0,,,,答案一模一样，就是说我测试结果不匹配，怎么回事,4,2017-10-13 20:31:47
244,26446,119.0,61.0,,,289.0,"File ""1-2.py"", line 30
print_(sinh(0.25))
^
SyntaxError: invalid syntax",0,2017-10-13 20:41:11
245,27022,118.0,61.0,,,,"再写一次题目提交上去的数据跟第一次一样？怎么回事？
",3,2017-10-13 20:42:35
246,26403,119.0,61.0,,,346.0,为什么评测实际输出一直是空的啊,2,2017-10-13 20:46:21
247,27147,118.0,61.0,,,,不管重新输入多少次答案都和第一次输入的一样，怎么办,2,2017-10-13 20:46:48
248,26347,119.0,61.0,,,,明明第三题phython上是对的，一复制到这儿就不对了，这是什么鬼/,1,2017-10-13 20:48:11
250,26263,119.0,61.0,,,3295.0,"File ""1-2.py"", line 26
print_(sqrt((1+sqrt(5))/2+2)-(1+sqrt(5))/2)
^
SyntaxError: invalid syntax  求解。。
",2,2017-10-13 20:49:52
251,27033,119.0,61.0,,,,"： File ""1-2.py"", line 21
print_(math.cos(2*pi/17))
^
SyntaxError: invalid syntax
教员，我想知道到底错在哪？向同学求助也是这个答案还是这个结果。
",0,2017-10-13 20:50:04
255,26776,119.0,61.0,,,,崩溃中,0,2017-10-13 21:21:48
257,26551,119.0,61.0,,,,sinh,0,2017-10-13 22:32:40
262,27044,120.0,61.0,,,277.0,"<span class=""-task-ces-info-left color-blue fl fb"">实际输出：</span>
<p class=""fl with90 color-orange"">
	-455.8000<br />
-148.0000<br />
32.0000<br />
212.0000<br />
1832.0000<br />
***********************<br />
0.2489<br />
0.2489<br />
0.1397<br />
0.0000<br />
***********************<br />
0.0000<br />
2.3013<br />
11.5487<br />
55.6544<br />
267.7449<br />
1287.9851<br />
6195.8239<br />
***********************<br />
0.0000<br />
2.5500<br />
5.1000<br />
7.6500<br />
10.2000<br />
12.7500<br />
15.3000<br />
***********************<br />
0.0000<br />
5.0500<br />
10.1000<br />
15.1500<br />
20.2000<br />
25.2500<br />
30.3000<br />
***********************<br />
0.0000<br />
7.5500<br />
15.1000<br />
22.6500<br />
30.2000<br />
37.7500<br />
45.3000<br />
***********************<br />
0.0000<br />
10.0500<br />
20.1000<br />
30.1500<br />
40.2000<br />
50.2500<br />
60.3000<br />
***********************<br />
0.0000<br />
12.5500<br />
25.1000<br />
37.6500<br />
50.2000<br />
62.7500<br />
75.3000<br />
***********************<i class=""fa fa-level-down color-grey font-16""></i>
</p>
<div>
	<br />
</div>
<p>
	这是我的评测结果，连英文都没有
</p>",2,2017-10-14 08:03:12
264,27153,114.0,60.0,128.0,128.0,,会员每日送金币,0,2017-10-14 08:17:01
265,26546,121.0,61.0,,,,"<p>
	File ""1-4.py"", line 23<br />
print_(r)<br />
^<br />
IndentationError: unindent does not match any outer indentation level
</p>
<p>
	第四关，第2题。求解答
</p>
<p>
	<br />
</p>",0,2017-10-14 08:34:28
268,27121,121.0,61.0,,,,"<p>
	File ""1-4.py"", line 32<br />
print_(payPerMonth)<br />
^<br />
SyntaxError: invalid syntax
</p>
<p>
	<br />
</p>",0,2017-10-14 09:23:01
269,27115,119.0,61.0,,,,第三题我把第2个答案在shell上粘贴了一遍得到了正确答案，但是实训中却显示错误,2,2017-10-14 09:25:17
270,26646,119.0,61.0,,,334.0,"File ""1-2.py"", line 30<br />
print_(sqrt((1+sqrt(5))/2+2)-(1+sqrt(5))/2)<br />
^<br />
SyntaxError: invalid syntax",0,2017-10-14 09:32:33
271,26646,119.0,61.0,270.0,270.0,,求解答！,0,2017-10-14 09:34:13
272,24774,412.0,133.0,,,381.0,"<p>
	title()方法具体使用示例中写成了say_hello<span class=""pun"">.</span><span class=""pln"">lower</span><span class=""pun"">()</span>
</p>",0,2017-10-14 10:01:48
273,27614,135.0,67.0,,,280.0,老师，我的评测无响应怎么办,1,2017-10-14 10:58:03
274,26665,119.0,61.0,,,,"<p>
	sqrt(1/2*(1+sqrt(5))+2)-1/2*(1+sqrt(5))
</p>
<p>
	<br />
</p>",0,2017-10-14 10:58:29
275,26768,119.0,61.0,,,276.0,这句话只是用来试试是网坏了还是别的什么原因。。。,2,2017-10-14 11:10:49
276,26768,119.0,61.0,275.0,275.0,,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！！我看它半天刷不出来测评结果就把页面刷新了一下，结果全没了……,0,2017-10-14 11:15:19
277,26552,120.0,61.0,262.0,262.0,,"<p>
	没有英文就是答案错了，就是算式不对
</p>
<p>
	<br />
</p>",1,2017-10-14 13:58:59
278,27139,136.0,67.0,,,279.0,为什么明明退出了还在计时?,0,2017-10-14 14:49:33
281,26511,362.0,133.0,,,385.0,为什么有六组测试集？只给了两个名字，但是示例就给了一个字符串拼接的代码？,0,2017-10-14 19:57:38
282,27614,135.0,67.0,280.0,273.0,,已经好了，谢谢老师,0,2017-10-14 19:58:09
285,27613,136.0,67.0,,,,"老师您好，为什么在
<h2 class=""-header-title task-hide font-20 color-white"" style=""margin-left:0px;padding:0px;font-weight:normal;color:#FFFFFF;background-color:#33485F;font-size:20px !important;"">
	表达式语句实训
</h2>
<p>
	<span style=""color:#FFFFFF;background-color:#33485F;"">&nbsp;&nbsp;</span><span class=""fa fa-angle-right color-white font-20 ml5 mr5 mt10"" style=""line-height:1;font-family:FontAwesome;font-size:inherit;color:#FFFFFF;background-color:#33485F;""></span><span style=""color:#FFFFFF;background-color:#33485F;"">&nbsp;&nbsp;</span><span class=""font-20 color-white"" style=""color:#FFFFFF;background-color:#33485F;font-size:20px !important;"">第2关里 有一行scanf(""%d,&amp;x),我把x定义成float，输出的数据为什么和定义成double时差那么多？</span>
</p>
<p>
	<span class=""font-20 color-white"" style=""color:#FFFFFF;background-color:#33485F;font-size:20px !important;""><br />
</span>
</p>
<p>
	<span class=""font-20 color-white"" style=""color:#FFFFFF;background-color:#33485F;font-size:20px !important;""><br />
</span>
</p>",1,2017-10-15 00:11:57
287,26669,120.0,61.0,,,,"<span style=""color:#EE4A1F;background-color:#333333;"">C=Traceback (most recent call last):</span><br />
<span style=""color:#EE4A1F;background-color:#333333;"">File ""1-3.py"", line 12, in&nbsp;</span><br />
C=(input('C='))<br />
<p>
	EOFError: EOF when reading a line，求解啊老师
</p>
<p>
	<br />
</p>",0,2017-10-15 08:26:47
289,26944,119.0,61.0,244.0,244.0,,我也是,1,2017-10-15 09:03:05
298,26750,120.0,61.0,,,,"<span style=""color:#EE4A1F;background-color:#333333;"">File ""1-3.py"", line 30</span><br />
<span style=""color:#EE4A1F;background-color:#333333;"">sin(hx)=(e**x-e**(-x))/2</span><br />
<span style=""color:#EE4A1F;background-color:#333333;"">^</span><br />
<p>
	<span style=""color:#EE4A1F;background-color:#333333;"">SyntaxError: can't assign to function call &nbsp;&nbsp;</span>
</p>
<p>
	<span><span style=""background-color:#333333;"">求解</span></span>
</p>",0,2017-10-16 15:43:55
301,27675,119.0,61.0,,,,细心，努力就会成功！,1,2017-10-16 20:21:12
302,26655,119.0,61.0,,,,"<p>
	我还没提交呢
</p>
<p>
	<br />
</p>",0,2017-10-16 20:33:41
303,26655,119.0,61.0,,,306.0,不知为什么就交了,0,2017-10-16 20:34:13
305,24774,368.0,140.0,,,363.0,"<p>
	写得和参考答案一样，测试结果还是通不过，应该是输入 代码有问题吧？
</p>",0,2017-10-16 21:12:41
307,27117,140.0,69.0,,,3746.0,"Traceback (most recent call last):<br />
File ""2-1.py"", line 13, in<br />
print_(F)<br />
NameError: name 'F' is not defined<br />",3,2017-10-17 14:40:36
308,26973,119.0,61.0,,,309.0,"<p>
	File ""1-2.py"", line 26<br />
print_(((1+5**0.5)*0.5)+2)/2-(1+5**0.5)/2)<br />
^<br />
SyntaxError: invalid syntax
</p>
<p>
	<br />
</p>",0,2017-10-17 17:42:11
309,26973,119.0,61.0,308.0,308.0,,"<p>
	nalidewenti
</p>
<p>
	<br />
</p>",0,2017-10-17 17:42:52
310,27006,120.0,61.0,,,,请问一下老师，第三关第一题我的程序在spyder上面能正常运行，但是在这上面就只显示一个特别大的答案。这是什么情况？,0,2017-10-17 17:52:46
311,27099,140.0,69.0,307.0,307.0,,我也不知道,0,2017-10-17 19:37:12
312,26728,119.0,61.0,309.0,308.0,,"<div>
	（
</div>",0,2017-10-17 19:53:07
313,26728,121.0,61.0,260.0,252.0,,半夜起来交作业,0,2017-10-17 19:57:32
314,26728,119.0,61.0,246.0,246.0,,因为你有式子格式错了,0,2017-10-17 19:59:56
316,27054,140.0,69.0,,,,退出再进来啥都没了怎么回事？,1,2017-10-17 20:26:36
317,26539,120.0,61.0,,,,"<p>
	SyntaxError: can't assign to function call &nbsp; &nbsp;这是神魔啊
</p>
<p>
	<br />
</p>
<p>
	<br />
</p>",0,2017-10-17 20:58:57
320,26945,140.0,69.0,,,336.0,"老师我的答案全部正确，就是第三题的空格数和答案不同，可是我试了好多方法都加不了空格<img src=""/files/uploads/image/201710/a53ff1cc90cc.jpg"" title=""image"" alt=""image"" />",0,2017-10-17 21:19:58
323,26418,413.0,133.0,,,384.0,"老师 第三关测试题集4给的预期输出真的没错没，为什么""time""和"".""之间也能算有空格，而句子开头都算是有一个空格在。。。我用pycharm做也不是这个的，而我题集1对的 4 却错了。。。。",4,2017-10-17 23:10:17
