course_id,name,description,visits,created_at,learning_notes,publish_time
25,PHP语言程序设计,"PHP 是一种服务端脚本语言，主要用于 Web 应用开发，近年来已逐步发展为一种通用编程语言。PHP 于`1994`年由`Rasmus Lerdorf`发明，PHP 早期是对“Personal Home Page”的缩写，目前普遍被认为是嵌套式描述“PHP: Hypertext Preprocessor”的缩写。

PHP 是一种开源的脚本语言，其脚本在服务器上执行。PHP 语法吸收了 C 语言、Java 和 Perl 等的特点，利于学习，使用广泛，主要适用于 Web 开发领域。因为PHP可以被嵌入于 HTML 语言，因此，相对于其他语言，它编辑简单，实用性强，更适合初学者。

本实训套件的目标是让学习者了解和掌握 PHP 语言的应用，由浅入深介绍了 PHP 语言的相关知识，锻炼学生的编程思维，提高学生的编程能力。
<center>
<img src=""/api/attachments/1548879""  height=""56%"" width=""65%"" />
</center>",15567,2017-10-01 15:04:24,本实训课程适用于 PHP 语言的初学者，要求同学们对 HTML 和 CSS 有基本了解。,2017-10-14 14:06:30
26,Android 开发入门,通过该实训路径，能进行简单的 Android 程序开发。,31,2017-10-24 14:50:01,大家可以在自己电脑上安装 Android 的开发环境，根据实训思路出发，自己练习开发 APP。http://www.android-studio.org/ 进入Android studio 中文社区，下载 Android studio 以及 Android SDK，安装好之后即可开始 Android 开发。本实训默认各位有一定 Java 编程功底。,
28,MySQL-实用教程,"Mysql是最流行的关系型数据库管理系统，在WEB应用方面MySQL是最好的RDBMS(Relational Database Management System：关系数据库管理系统)应用软件之一，广泛应用与信息系统管理、企业数据处理等领域。本实训指导包含了一系列实训试验项目，以完成任务通过关卡的方式，带领您轻松愉快的学习和掌握MySQL的基础知识和精髓。

实验环境：
- 硬件设备：PC以及UCloud（8核16G 500G硬盘）
- 技术平台：MySQL/Java

![](/api/attachments/175642)",929,2017-10-27 22:11:27,"本系列实训适合初学者学习和实验，对学员没有特别要求。
",2017-10-31 08:37:47
29,Docker企业级实训,"`Docker`是一个操作系统级的虚拟化技术，是基于`LXC`技术构建的轻量级容器引擎。`Docker`为`DevOps`时代软件开发运维一体化提供了标准“集装箱”，开发者可以将应用及其依赖打包到可移植的容器中，实现在不同基础环境之间的无缝迁移。与传统的虚拟化技术相比，`Docker`具有更高效的系统资源利用率、更快速的启动时间、提供一致的运行环境、更轻松的迁移等众多优势。`Docker`已成为目前最为热门的开源项目之一，并以其为核心形成了繁荣的生态圈，在大型软件企业和初创公司中都得到大规模实践应用。

本实训套件目前包括四个实训，涵盖了从基础入门到镜像管理到数据卷等内容，能够帮助学习者快速理解和掌握`Docker`核心概念和基础应用。我们将根据`Docker`发展不断提供更多的实训项目。

<p align=""center"" >
<img  style=""border: 1px solid #ddd;padding: 5px; background: #fff;"" src=""/api/attachments/176693"" alt=""""  height=""80%"" width=""80%""  />
</p>
",6680,2017-11-03 23:11:59,"`Docker`是一种轻量级虚拟化技术，对其学习和掌握需要具备一定的操作系统、文件系统等相关基础。本实训通过一系列由易到难的关卡设计和知识点介绍，让学习者通过编写相应的脚本来完成关卡任务，极大的降低了学习门槛。此外，学习者可以通过命令行的方式去感受和体验`Docker`的基本命令和使用方法。

请跟随我们开启神奇的`Docker`之旅！",2017-11-04 07:23:46
31,C程序设计,"C语言是一种用途广泛、功能强大、使用灵活的过程性编程语言，既可用于编写应用软件，又能用于编写系统软件。
C语言有以下一些主要特点：
1）语言简洁，紧凑，使用方便，灵活。
2）运算符丰富。
3)数据类型丰富。
4）具有结构化的控制语句。
5）语法限制不太严格，程序设计自由度大。
6）C语言允许直接访问物理地址，能进行位（bit）操作，能实现汇编语言的大部分功能，可以直接对硬件进行操作。
7）用C语言编写的程序可移植性好。
8）生成目标代码质量高，程序执行效率高。
由于具有上述优点，C语言应用领域十分广泛，包括系统软件、游戏、网络软件、分布式系统、嵌入式系统等等。
本实训系列的目标是引导学习者掌握C语言，并具备使用它们进行问题求解的能力，为以后更进一步的学习、研究打好基础。
",15699,2017-11-17 21:29:42,"本实训课程适用于《C程序设计》或同类课程，支持“零基础”的同学自主学习C语言，对同学们的计算机和编程基础没有特殊要求。
本课程采用的教材为**谭浩强**老师主编的**《C语言程序设计》第四版。**",2017-11-20 07:40:53
32,C语言程序设计,"C是计算机领域最经典、最流行、使用最广泛的程序设计语言。

C语言起源于Algol 60，基于该语言发展出了CPL语言。1967年，为编写操作系统和编译器，Martin Richards在CPL基础上开发出了BCPL语言。1970年贝尔实验室的Ken Thompson 将BCPL语言改良成B语言，并用B语言在DEC PDP 7计算机上实现了第一个UNIX操作系统。1972年，Dennis Ritchie和Ken Thompson在贝尔实验室设计UNIX系统时，基于B语言设计开发出了C语言。

C语言从问世以来，就作为UNIX操作系统的开发语言而闻名于世。对于操作系统和系统实用程序、以及需要对硬件进行操作的场合，用C语言明显优于其他高级语言。1988年美国国家标准化协会（ANSI）为C语言制定了一套ANSI标准，成为现行的C语言标准。

本实训是为非计算机专业理工科学生所设计的公共基础课，通过学习C语言程序设计，培养同学们的计算思维，提高综合应用能力，成为工程应用型人才。
",23792,2017-11-28 14:54:48,"####教学要求
掌握程序设计语言的基本知识
常用算法（用计算机解决问题时常用的算法）
初步的程序设计能力
####学习方法
自主学习
重视上机实践
",2019-03-14 16:03:49
33,云计算基础之Hadoop实训,"Hadoop是一个由Apache基金会所开发的分布式系统基础架构。用户可以在不了解分布式底层细节的情况下，开发分布式程序，并能充分利用集群的威力进行高速运算和存储。
Hadoop的框架最核心的设计就是：HDFS和MapReduce。HDFS为海量的数据提供了存储，则MapReduce为海量的数据提供了计算。
本实训目前涵盖了HDFS和MapReduce编程，能够帮助学习者快速理解和掌握HDFS和MapReduce的核心概念和基本应用。后面我们将进一步补充Hadoop其他组件的编程应用。",593,2017-12-07 14:55:11,"Hadoop是一个能够让用户轻松架构和使用的分布式计算平台，对其学习和掌握需要具备一定的Linux操作系统、高级编程语言等相关基础。本实训通过一系列由易到难的关卡设计和知识点介绍，让学习者通过编写相应的程序段来完成关卡任务，极大的降低了学习门槛。

请跟随我们开启神奇的Hadoop之旅吧！",2017-12-08 16:41:05
34,MATLAB学习和实战,"MATLAB作为一款商业软件，越来越强大，也越来越受追捧。它操作方便、功能丰富、便于配置、多平台支持，在数据处理、数学计算、数据可视化甚至是机器学习等人工智能领域都有广泛应用。众多高校在本科阶段中都会选择开设MATLAB相关的课程，并且不惜重金购买此款软件，由此可见它的魅力之大！

不过，MATLAB的学习者水平参差不齐：有的可能有编程基础，有的可能根本没有系统的学习过编程；有的有相关的数学基础，有的还没有接触过矩阵等知识。处于对不同层次的学习人员的考虑，本实训系列会尽量将知识讲解的浅显透彻、生动形象，让大家即使没有接触过程序开发，也可以很快的入门MATLAB，进行相关实验和学习。

任务安排方面，实训中考虑到了学习的层层递进，会逐渐的加大难度，并且努力的实现任务之间的衔接性和累积性，让大家在学习过程中，不断的积累经验，不断的获得自信，不断的提高自己的编程能力。

实训内容只是MATLAB学习或者说编程知识学习的冰山一角，真正的能力是在不断的实战中积累而来的。在实训内容的第一个部分就介绍了如何通过软件自带的帮助手册来自学MATLAB，如果你有充足的精力，可以尝试拓展学习，相信你会受益颇深。
![1](/attachments/download/182371 ""1"")",3055,2017-12-16 21:12:53,"MATLAB语法简单，易于上手，是一种高级解释性语言，学习的过程中不要有畏惧心理。本实训内容浅显易懂，尽量多地使用生活中的例子来解释编程中的一些概念，适合一些编程初学者学习。

参考书籍（选择一本即可）：
[《MATLAB基础教程》 孙蓬 主编；清华大学出版社](http://www.tup.tsinghua.edu.cn/booksCenter/book_04418701.html)
ISBN：9787302269298
[《MATLAB编程》 [美] Stephen J.Chapman著；邢树军 等译，科学出版社](http://www.sciencep.com/s_single.php?id=23308)
ISBN：9787030305428
[《工程与科学数值计算MATLAB实现》 [美] 夏普若著；唐玲艳 等译，清华大学出版社](http://www.tup.tsinghua.edu.cn/booksCenter/book_02977701.html)
ISBN：9787302196709
[《高等应用数学问题的MATLAB求解》 薛定宇等著，清华大学出版社](http://www.tup.tsinghua.edu.cn/booksCenter/book_01560001.html)
ISBN：9787302093114",2017-12-17 17:37:07
35,Go语言程序设计——从入门到精通,"Go 语言是 Google 于 2009 年发布的开源编程语言。 Go 语言的特点：对多处理器应用程序的编程进行了优化，使用 Go 编译程序可以媲美 C 或 C++ 的代码速度，而且拥有 Python 解释语言的简洁和开发效率。

Go 语言正在慢慢流行起来，对传统的 Java ，C++ 和 C 等编程语言都产生了强劲的冲击。有预言称，Go 语言将会统治未来五到十年。眼下开源界最热的项目 Docker ，就是用Go语言开发的； 2016 年度 Go 语言获得了 2.16% 的用户增长，并且一举荣获 TIOBE 的 2016 年度编程语言；2017 下半年的 TIOBE 指数计算机语言份额排名中， golang 跃居 top20。

本实训套件包含了一系列 Go 语言实训项目，为学习者规划了一条循序渐进的 Go 语言学习路径，以完成任务通过关卡的方式，带领您轻松愉快的学习和掌握 Go 语言的基础知识和编程精髓。
<p align=""center"" >
<img  style=""border: 2px solid #ddd;padding: 30px; background: #fff;"" src=""/api/attachments/183426"" alt=""""  height=""90%"" width=""90%""  /></p>
",1863,2017-12-17 13:13:54,本实训课程是 Go 语言入门实训，要求学员了解 C 语言和 Python 基础知识，以便对比不同语言间的语法特性。,2017-12-17 21:01:50
36,JUnit单元测试,"JUnit是一个由 Erich Gamma 和 Kent Beck 编写的一个回归测试框架（regression testing framework），主要供 Java 开发人员编写单元测试。Junit在极限编程和重构中被极力推荐使用，因为它可以大大地提高开发的效率。

![](/api/attachments/182449)",1132,2017-12-17 19:34:02,本实训要求学员熟悉Java编程语言和软件测试的概念。,2017-12-17 21:02:43
38,Java语言程序设计（基础篇）,"Java是一门功能强大的面向对象编程语言，它摒弃了C++语言中难以理解的多继承、指针等概念，保留了面向对象本该拥有的优雅性和稳健性。在经历了20多年的发展与成长之后，如今Java已被广泛应用于移动及桌面应用程序、Web应用程序、分布式系统和嵌入式系统应用程序等各个领域的软件开发中。

本实训套件的目标是让学习者切实掌握Java语言的使用方法，培养学生独立编程解决实际问题的意识和能力，并在实训课程结束时能够独立完成一定难度的程序设计和开发任务。

本实训套件融合了多部Java相关的经典教材，可以满足Java语言程序设计、面向对象程序设计、数据结构等一系列计算机类基础教学活动。使得学习者在课堂学习之余，检验并提升自己的实际动手能力。",35678,2017-12-26 15:44:26,"本实训课程适用于初识编程的同学们，可配套《Java语言程序设计》、《面向对象程序设计》等同类课程，支持“零基础”Java编程学习与实训，对同学们的计算机和编程基础没有过多的特殊要求。

本实训将一步一步带领同学们走进计算机编程神奇的世界，实现从Java入门到精通Java编程的飞跃！",2017-12-26 15:49:29
40,JavaScript在线实战：从入门到精通,"JavaScript 是前端开发的必备语言，在 2017 年 6 月版的全球编程语言排名 TIOBE 榜单中排名第 7，仅次于 Java、C 等应用范围极其广泛的语言。在 GitHub 最受欢迎的编程语言排名中，近年来一直高居第一位。

1995 年，JavaScript 诞生于网景浏览器的母公司 NetSpace，最初运行于著名的网景浏览器，目的是增强网页的交互性。经过多年的发展，JavaScript 的应用范围不断扩大，包括前端开发、后台开发、插件开发、小游戏的开发等。

JavaScript 之所以如此流行，与其突出的跨平台性特点密不可分，不受制于操作系统，被绝大多数浏览器支持，使得 JavaScript 在动态网页开发中处于垄断地位。

本实训路径包含 17 个实训，是一套完整的 JavaScript 入门课程，适合于没有任何基础的初学者，同样可作为前端工程师的参考资料。主要内容包含三个部分：ECMAScript（JavaScript 的核心部分）、DOM（文档对象模型）和 BOM（浏览器对象模型）。最后一个实训还将介绍一个开源的图片剪辑插件——Cropper.Js。",26272,2018-01-21 20:22:01,本实训不要求学员有任何的 JavaScript 基础，但是学员需要有一定的 C 语言或者 Java 语言的基础，至少需要知道一些编程语言的基本概念：比如数据类型、运算符、函数、条件语句、循环语句等，没有接触过任何编程语言的学员，建议先熟悉一本入门的 C 或者 Java 教材，这样有个循序渐进的过程。,2018-08-20 16:23:06
41,Git从小白到高手,"随着计算机技术的发展，软件的结构变得越来越复杂，规模也越来越大，软件开发中的版本控制、代码托管及协同开发也变得越来越重要。

`Git`是一个分布式的版本控制系统，它功能强大、操作简单，并且能很好地解决以上问题。目前，熟练地使用`Git`已经成了一个软件开发从业者必备的技能。同时，其他领域的工作者也可以使用Git进行产品的版本控制。

本实训路径从实际需求出发，设计了若干实训，帮助用户在闯关的过程中，逐步学会`Git`的使用，帮助用户逐步从`Git`小白变为`Git`使用高手。",3009,2018-01-22 17:23:05,"本实训路径适合于所有需要对产品进行版本控制及资料托管的用户，尤其适用于软件开发者。
本实训路径参考资料为`Git`官方文档，网址为https://git-scm.com/doc。",2018-03-01 08:57:42
43,Linux从入门到精通,"`Linux`是一套免费使用和自由传播的类`Unix`操作系统，是一个基于`POSIX`和`UNIX`的多用户、多任务、支持多线程和多`CPU`的操作系统。`Linux`操作系统诞生于`1991`年`10`月`5`日（这是第一次正式向外公布时间）。`Linux`存在着许多不同的`Linux`版本，但它们都使用了`Linux`内核，其中比较常见的有`Ubuntu`、`Redhat`等等。

本课程将从零开发讲解`Linux`的使用方法，主要包括了基础使用篇和服务器搭建篇两部分内容。",60891,2018-01-22 20:28:17,"本实训是面向 Linux 零基础的用户，本实训结合大量的示例全面的介绍 Linux 如何使用。实训中的每关都布置相应的练习来引导用户思考和巩固本关的知识。

通过对本实训的学习，用户可以对 Linux 有较好的掌握，可以让用户熟练的掌握 Linux 系统的使用。",2018-03-01 08:57:51
44,C#在线实训教程,"C#读作C Sharp，是微软专门为.NET量身打造的一种全新的编程语言，在`2000`年`6`月份发布，由安德斯•海尔斯伯格（Anders Hejlsberg）带队研发。之后被ECMA和ISO接受并形成ECMA-334标准和ISO/IEC 23270标准。

ECMA标准为C#列出如下大约`7`个设计目标：
* 
      C#旨在成为一种 简单的、现代的、通用的、面向对象的编程语言。
      C#语言及其实现应提供对软件工程要素的支持，例如强类型检查、数组维度检查、未初始化的变量引用检测、自动垃圾回收等。使得软件更加注重健壮性、持久性和较强的编程生产能力。
      C#旨在开发适合分布式环境中部署的软件组件。
      C#的可移植性，使已经熟知C和C++的编程人员更容易迁移，以及对源码自身的重要性。
      C#国际化支持。
      C#适合为独立和嵌入式的系统编写程序，从使用复杂的大型系统，到特定应用的小型系统均适用。
      尽管C#应用旨在缓解有关内存和处理能力的需求，但在程度上不应直接与C或汇编语言相提并列。

对于刚刚接触编程语言的同学，一定要牢记编程过程中一些固定的句式，这在C风格语言中是通用的。C#的主要语法也和其他几门C风格类型语言较为类似，比如C、C++、Java等。所以学习中需不断积累类似如下的规则：
* 
      分号【;】用来表示语句的结束。
      花括号【{ }】用来分组语句。语句通常分为方法（函数）、类的方法、名称空间的类等。
      变量使用等号【=】来赋值，使用两个等号【==】表示比较。
      方括号【[ ]】与数组一起使用，可根据其中索引值获取数组中的值。

同样，对一些已有其他语言编程经验的同学，也需要注意C#那些与众不同的特点，这些特点使C#区别于C、C++、java其他语言。这些特点涵盖在可移植性、类型、元编程、方法和函数、属性、名称空间、内存访问、异常、多态、LINQ、函数式编程（面向过程编程）等多个方面，之后会在实训中逐渐了解其中常用的一部分。
",26,2018-01-23 14:37:22,本实训课程适用于初识编程的同学，也适用对编程有浓厚兴趣有经验的同学。可配套《C#从入门到精通》、《C#程序基础》等同类课程。实训中的阶段任务会一步步引导诸位，逐渐深入了解网络世界的构建基础，也希望初学者能够结合背景知识，发散学习，汲取C#语言安全、稳定、优雅、简单的特点。,
50,Python 之 Pytorch,"![](https://www.educoder.net/attachments/download/184500)

PyTorch是2017年1月19日正式发布的基于 Python的深度学习框架，是 Torch 在 Python 上的衍生，主要的语言接口是Lua。

PyTorch利用imperative language即命令式语言的设计思路编写。它是线性、直观且易于使用。而且PyTorch是一个动态的建图的工，PyTorch具有更好的灵活性。自发行以来，发展态势良好，应用前景广阔。

本实训套件包含了一系列PyTorch实训项目，从最基本的操作对象到神经网络的创建和应用，由浅入深，循序渐进，以完成任务通过关卡获得金币的方式，带领您轻松愉快的学习和掌握Pytorch的基础知识和编程精髓。

",1919,2018-01-30 10:49:07,"本实训课程是Pytorch入门实训，对要求有以下要求：
- 了解Python基础知识，包括 numpy 库和 matplotlib库。
- 了解机器学习相关知识，掌握神经网络中的基本概念，如卷积、池化等
",2018-06-21 08:46:30
51,MATLAB基础进阶,此实训路径是对`MATLAB`基础的进一步学习，在完成对于`matlab`矩阵分析，程序设计等阶段的学习之后，学习`matlab`的绘图，数值计算，以及符号运算等功能，进一步了解`matlab`在科研与生产中的应用。,2817,2018-01-31 17:11:35,需要了解`matlab`的基础语法，耐心细致的学习新的函数使用方法，在不了解使用的情况下，学会使用`matlab`的帮助来解决问题。,2018-07-20 14:46:43
53,从零开始搭建个人博客系统,"本系列课程将带领你从零开始完成一个个人博客系统前后端代码的编写，课程内容分为三个阶段：

入门：
- 开发环境搭建；
- 前端常用框架讲解；
- 数据库设计；
- `Spring`框架；
- `MyBatis`框架；
- `SpringBoot`框架。

进阶：

- 权限管理；
- 整体框架设计；
- `MVC`项目搭建；
- 接口设计。

实战：

- 用户管理；
- 博客管理；
- 博客分类；
- 博客列表；
- 标签管理；
- 评论管理。


本门课程从构建一个系统的框架着手，一步一步带你实现完整前后端的企业级应用，通过上述三个阶段的学习，你将掌握 `BootStrap`，`Spring`、`SpringBoot`、`MyBatis`等框架的使用，会熟练运用这些框架搭建一个前后端结合的`Java`企业级应用，能胜任企业中`Java`工程师的工作。




项目效果如图：

主页：
<p align=""center"" > 
<img  style=""border: 2px solid #ddd;padding: 5px; background: #fff;"" src=""/api/attachments/204001"" alt=""""  height=""90%"" width=""90%""  />
</p>

详情页：
<p align=""center"" > 
<img  style=""border: 2px solid #ddd;padding: 5px; background: #fff;"" src=""/api/attachments/204002"" alt=""""  height=""90%"" width=""90%""  />
</p>


`MarkDown`编辑器，写博客：
<p align=""center"" >
<img  style=""border: 2px solid #ddd;padding: 5px; background: #fff;"" src=""/api/attachments/204003"" alt=""""  height=""90%"" width=""90%""  />
</p>


这是一个响应式的网页，同时也兼容移动端。
移动端效果：



![ 0 ]( /api/attachments/204461 ""0"" )

![ 0 ]( /api/attachments/204460 ""0"" )





<video src=""http://outin-396971199eed11e991a100163e1c7426.oss-cn-shanghai.aliyuncs.com/sv/7e6c6b6-16cfb18ce5e/7e6c6b6-16cfb18ce5e.mp4"" controls=""true"" controlslist=""nodownload"" width=""90%"" height=""55%"" poster=""http://video.educoder.net/c4f9341198c2446cb77c6af2d985e52c/snapshots/24fefa678dee4e93954bea5b0cef9da4-00001.jpg"">您的浏览器不支持 video 标签。</video>

<center>

<p>
课程视频 - 博客系统企业级应用项目介绍
</p>

</center>
",8807,2018-02-27 17:18:10,"如果你想要将`Java`编程知识应用到实际项目中，那么本门课程非常适合你。

学习本系列课程只需要你具备`HTML/CSS`与`Java`基础即可。",2018-07-24 10:50:08
