chapter_id,name,description,created_at
65,第1章 Docker入门,本章主要介绍Docker的基本概念如镜像、容器等，并掌握Docker的一些基本操作，主要内容包括Docker镜像的拉取、容器的启动、停止与删除等。通过本章实训，帮助学习者建立起对Docker初步的了解。,2017-11-03 23:17:21
66,第2章 Docker进阶之镜像,镜像是Docker中的关键组成部分，本章主要介绍Docker镜像的管理，包括创建、删除、保存以及导入导出等，以及基于Dockerfile的镜像制作与管理等。,2017-11-03 23:20:49
67,第3章 Docker进阶之数据卷,Docker在使用过程中往往需要对数据进行持久化，这就涉及到对容器的数据操作。数据卷将容器内数据直接映射到本地宿主机，是Docker容器对数据进行管理的方式之一。本章主要介绍Docker数据卷的概念及实践。,2017-11-03 23:25:18
69,第一部分 基础知识,,2017-11-17 21:33:26
70,第二部分 程序控制,,2017-11-17 21:35:43
71,第三部分 数据结构及函数,,2017-11-17 21:36:59
72,第4章 C进阶编程,,2017-11-17 21:50:31
73,第1章 C语言概述,了解C语言的发展与特点，认识C语言的基本程序结构，理解C程序开发过程，掌握简单的输入输出函数。,2017-11-28 14:58:23
74,第2章 数据的存储和表示,,2017-11-28 15:00:18
75,第3章 运算符与表达式,,2017-11-28 15:04:08
76,第4章 分支结构,,2017-11-28 15:05:50
77,第5章 循环结构,,2017-11-28 15:07:19
78,Hadoop基础实训,本阶段主要介绍Hadoop中最基本的组件HDFS和MapReduce的基本概念和知识，使学习者能够进行简单的HDFS编程，对文件实现读写操作等，并使学习者能够理解并掌握MapReduce处理过程，能够应用MapReduce实现一些简单的算法，比如文档倒排序和PageRank算法等。通过本节实训，帮助学习者建立起对Hadoop初步的了解。,2017-12-07 15:06:39
80,第二章、Android 开发之 UI 设计," Android布局是应用界面开发的重要一环，在Android中，共有四种主流布局方式，分别是：
线性布局（LinearLayout）：按照垂直或者水平方向布局的组件。
帧布局（FrameLayout）：组件从屏幕左上方布局组件。
表格布局（TableLayout）：按照行列方式布局组件。
相对布局（RelativeLayout）：相对其它组件的布局方式。",2017-12-08 10:34:28
81,第1章 MATLAB基本语法,本章作为MATLAB的入门内容，将循序渐进的介绍MATLAB的基本知识点，包括如何打印内容到屏幕上、如何创建变量和表达式、如何创建矩阵（数组）等，其中交叉涵盖了帮助手册的使用方法。通过本章的学习，你会基本掌握MATLAB的开发流程，并且开始进行简单的数学计算和数据处理。,2017-12-16 21:25:12
82,第2章 MATLAB矩阵进阶,本章内容主要针对矩阵知识的夯实打牢，涉及字符串的相关操作、矩阵运算以及数据的导入与导出。通过本章的学习，你将基本上了解MATLAB的数据存储形式和交互方式，进而可以尝试更高级的实验。,2017-12-16 21:33:56
83,第3章 MATLAB程序控制结构,一个程序语言的灵魂在于程序控制的实现，只有拥有了控制语句，一个程序才会拥有思考的能力。本章内容从常见的顺序结构、分支结构和循环结构对MATLAB的程序控制语句进行介绍，同时涵盖了自定义函数的创建方法。通过学习，你的程序将变得更有智慧，同时变得更加规范、易移植。,2017-12-16 21:37:15
84,第1章 Go语言初识,本实训的目标是让学员对Go语言有基本了解，包括开发环境配置，撰写风格和Go语言的包机制等。,2017-12-17 13:25:02
85,第2章 Go语言基础知识,本实训的目标是让学员学习Go语言的基础知识，包括基本数据类型，变量定义和初始化和运算符等。,2017-12-17 13:34:17
86,第3章 Go语言控制语句,本实训的目标是让学员学习Go语言的控制语句。,2017-12-17 13:45:28
87,第4章 Go语言数组和字符串,本实训的目标是让学员循序渐进学习Go语言的数组和字符串。,2017-12-17 14:05:30
88,第5章 Go语言函数和方法,本实训的目标是指导学员学习Go语言的函数和方法。,2017-12-17 14:07:40
89,第6章 Go语言复合数据结构,本实训的目标是指导学员学习Go语言的两种复合数据结构：slice和map。,2017-12-17 14:15:01
90,第7章 Go语言结构体和指针,本实训的目标是指导学员学习Go语言的结构体和指针。,2017-12-17 14:17:17
91,第8章 Go语言接口和反射,本实训的目标是指导学员学习Go语言接口和反射。,2017-12-17 14:38:06
92,第9章 语言Goroutine和Channel,本实训的主要目标是让学员掌握Go语言并发的两大实战利器：Goroutine和Channel。,2017-12-17 14:39:01
93,第10章 Go语言错误处理机制,本实训的主要目标是让学员掌握Go语言的错误处理机制,2017-12-17 14:39:31
94,第1章 ,本实训的主要目标是让学习者了解Junit的基本语法和使用方法，能够用使用Junit完成单元测试。,2017-12-17 19:34:25
95,第2章,本实训的主要目标是让学员学习Junit的进阶语法，能够用使用Junit完成参数化测试和套件测试。,2017-12-17 19:38:20
97,第一阶段 Java语言快速入门,第一阶段主要让学习者能够快速入门，针对的是Java语言通用的语法基础、控制结构和数据结构等基础知识的实训。,2017-12-26 15:46:03
98,第二阶段 面向对象程序设计基础,第二阶段主要训练如何使用Java语言进行面向对象编程，具体涉及类与对象、继承与多态等。,2017-12-26 15:47:49
99,第三阶段 Java程序设计基础应用,第三阶段主要训练如何使用Java语言完成实践应用的开发，具体设计文件编程、网络编程与数据库编程等。,2017-12-26 15:49:09
101,第1章 ,本章主要介绍Git原理及Git的基础操作，主要包括本地及远程版本库的相关操作。,2018-01-22 17:28:59
102,第2章,介绍Git分支相关的操作，主要包括新建、删除及合并分支。,2018-01-22 17:31:55
108,第1章 Linux介绍,本章将为用户介绍Linux大概的结构，同时引导用户接受Linux命令行的使用方式。,2018-01-22 20:31:43
109,第2章 Linux 用户管理,本章的实训主要讲解Linux中用户的管理，包括创建、删除等内容。通过本章的学习，用户可以掌握Linux如何管理用户。,2018-01-22 20:35:05
110,第4章 Linux文件/目录管理,"本章主要讲解Linux对文件和目录的管理。
本章分为4个实训，每个实训从简单到困难，从对文件/目录的创建删除等操作到对文件/目录的属性修改。",2018-01-22 20:39:08
111,实训阶段一：C# 基础知识,基础知识,2018-01-23 14:38:39
112,第3章,本章主要介绍了根据git日志定位修改和提交，然后根据需要进行修改撤销和版本回退的操作。,2018-01-26 02:34:25
113,第4章,本章主要介绍Git标签相关知识，主要包括标签的创建、删除及分享。,2018-01-26 02:35:03
114,第5章,本章主要介绍了Git的高阶操作，主要包括冲突处理、忽略文件、合并远程分支、配置别名及公共版本库的使用等操作。,2018-01-26 02:36:45
117,实训阶段二：C# 程序控制,程序控制,2018-01-26 12:24:14
118,第三阶段 C# 数据结构及函数,,2018-01-26 12:29:13
119,第四阶段 C# 类与对象,,2018-01-26 12:32:21
120,第五阶段  C#综合提升,,2018-01-26 12:36:06
129,第1章 Tensor 初探,本实训的目标是学习 Pytorch 中最基本的操作对象——Tensor，掌握Tensor 的创建、索引、切片、数学运算、等等。,2018-01-30 10:51:39
130,第2章 Pytorch 之autograd,"autograd包是PyTorch中所有神经网络的核心。
torch.autograd提供了类和函数用来对任意标量函数进行自动求导。它是一个逐个运行的框架，意味着神经网络的backprop由代码运行定义，每一次迭代都可以不同。

一个Variable里面包含着三个属性，data，grad和creator，其中creator表示得到这个Variabel的操作，比如乘法或者加法等等，grad表示方向传播的梯度，data表示取出这个Variabel里面的数据",2018-01-31 12:58:46
131,第3章 Pytorch 之torch.nn初探,现在你对`autograd`有了初步的了解，使用 `torch.nn `包可以进行神经网络的构建，nn`建立在`autograd`的基础上来进行模型的定义和微分。,2018-01-31 13:00:40
132,第4章  Pytorch 之torch.nn进阶,"进一步学习 torch.nn，掌握神经网络中的正则化、距离函数、损失函数等概念
",2018-01-31 13:03:49
133,第1章  MATLAB绘图,本章对于MATLAB的绘图功能进行学习，包括二维图形，三维图形以及隐函数的绘制，还有一些对于图形的控制方法，希望学员在学习完本章之后，可以独立的在MATLAB 上进行有关绘图的操作。,2018-02-08 10:18:17
137,第2章 MATLAB数值计算与符号计算,MATLAB强大的计算功能是其特色，在数学上主要有数值计算和符号计算两大方向，本章进行数值计算和符号计算基础的学习，完成本章学习之后，可以独立在MATLAB上进行计算的操作，以及一些高级问题的求解。,2018-02-23 12:35:41
139,专题1 页面设计,本阶段将带领你编写博客系统网站的首页和登录注册页面。,2018-02-27 17:22:39
142,专题2 需求分析与数据库设计,博客系统的需求分析与设计。对于企业级应用的完整流程来说，需求的分析与设计是必不可少的环节。本专题设计部分包含了原型设计、数据库设计。,2018-02-27 17:26:41
143,第5章 Pytorch 之优化,优化,2018-02-28 15:01:43
144,第6章 Pytorch 之线性回归,线性回归,2018-02-28 15:02:38
150,第1阶段  JAVA入门,你将学到JAVA开发环境的安装与配置，能动手编写出你自己的JAVA程序。,2018-03-05 08:22:02
151,第1章 JavaScript 基础知识,本章将介绍一些 JavaScript 的基础知识，帮助学员快速了解 JavaScript 的基本内容。主要有 JavaScript 简介、运行环境的搭建、注释、JavaScript 与 HTML、基本数据类型、运算符等。,2018-03-07 10:40:04
152,第2阶段 Java面向对象,本阶段进入Java面向对象编程部分，主要介绍类与对象、类的特征以及一些常用类和异常。,2018-03-08 09:03:39
155,第5章 Linux压缩和归档文件,本章主要讲解Linux对文件和目录的压缩和解压缩操作，通过对较大文件的压缩，可以节省磁盘空间。,2018-03-22 10:33:41
156,第6章 Linux文件定位命令,本章主要讲解Linux中对文件和目录的搜索工具，通过本章的学习，我们将学会如何在系统中搜索一个文件/目录的位置。,2018-03-22 10:40:31
157,第3章,,2018-03-23 19:44:21
158,第2章 JavaScript 复合数据类型——对象和数组,本章将介绍 JavaScript 中由基本数据类型组合成的复合数据类型——对象和数组，其中，对象部分主要介绍自定义对象；数组部分将介绍数组的主要操作，以及利用数组实现的两个排序算法——选择排序和冒泡排序。,2018-04-02 13:22:43
159,第3章 JavaScript 中的语句,本章的主要内容是 JavaScript 中两种常用的语句类型——条件语句和循环语句，条件语句部分包括 if-else 和 switch 两种类型，循环语句部分将介绍 while、do-while、for、for in 和两个关键字 break、continue 的用法。,2018-04-02 13:28:36
160,第4章 JavaScript 函数,本章从 JavaScript 中函数的定义入手，逐一讲解函数的调用、参数、函数对象等，最后介绍一些稍微复杂的内容：命名空间和闭包的概念。JavaScript 中一切皆对象，其函数有着不同于很多语言的独特之处，我们一起来了解吧！,2018-04-02 13:39:16
161,第5章 JavaScript 与字符串,本章首先呈现字符串的一些常用方法，然后阐述一种灵活操作字符串的方式——正则表达式，最后讲解如何在不同的语言之间用字符串传递数据——JSON，其中 JSON 是一种重要的数据传输技能。,2018-04-02 13:46:13
164,第1章 基础语法,本章节主要是针对C语言的基础语法进行练习，涉及到基本数据类型，数据结构，简单循环结构等。,2018-04-04 10:25:45
165,第2章 运算符,运算符是一种告诉编译器执行特定的数学或逻辑操作的符号。C 语言内置了丰富的运算符，并提供了各类型的运算符,2018-04-04 10:46:41
166,第3章 条件语句,"判断结构要求程序员指定一个或多个要评估或测试的条件，以及条件为真时要执行的语句（必需的）和条件为假时要执行的语句（可选的）。
C 语言把任何非零和非空的值假定为 true，把零或 null 假定为 false。",2018-04-04 10:49:26
167,第4章 循环语句,"有的时候，我们可能需要多次执行同一块代码。一般情况下，语句是按顺序执行的：函数中的第一个语句先执行，接着是第二个语句，依此类推。
编程语言提供了更为复杂执行路径的多种控制结构。循环语句允许我们多次执行一个语句或语句组",2018-04-04 10:51:02
168,第5章 数学题,上面学了基本语法、数据类型、条件语句和循环语句，接下来让我们做题进行结合训练,2018-04-04 10:56:16
169,第6章 函数,"函数是一组一起执行一个任务的语句。每个 C 程序都至少有一个函数，即主函数 main() ，所有简单的程序都可以定义其他额外的函数。
你可以把代码划分到不同的函数中。如何划分代码到不同的函数中是由您来决定的，但在逻辑上，划分通常是根据每个函数执行一个特定的任务来进行的。
函数声明告诉编译器函数的名称、返回类型和参数。函数定义提供了函数的实际主体。",2018-04-04 10:56:44
170,第7章 数组,C 语言支持数组数据结构，它可以存储一个固定大小的相同类型元素的顺序集合。数组是用来存储一系列数据，但它往往被认为是一系列相同类型的变量。,2018-04-04 10:57:29
171,第8章 指针,学习 C 语言的指针既简单又有趣。通过指针，可以简化一些 C 编程任务的执行，还有一些任务，如动态内存分配，没有指针是无法执行的。所以，想要成为一名优秀的 C 程序员，学习指针是很有必要的。,2018-04-04 10:58:01
172,第9章 字符串,在 C 语言中，字符串实际上是使用 null 字符 '\0' 终止的一维字符数组。因此，一个以 null 结尾的字符串，包含了组成字符串的字符。,2018-04-04 11:00:16
173,第10章 链表,链表作为一种基本的数据结构在程序开发过程当中经常会使用到。链表是一种线性存储数据的结构，存储内容在逻辑上连续的，在物理上却不一定连续。单向链表的组成包括一个链表头（head）和若干链表元素（node），对链表的基本操作其实就是增、删、改、查。,2018-04-04 11:02:48
174, 第1章 基础知识 ,C++基础知识练习题，计算基础，运算符，变量与常量。,2018-04-04 15:50:25
175,第2章 控制语句,流程控制语句练习，if..else，switch，循环语句，for循环，while循环，do...while循环。,2018-04-04 15:54:24
176,第3章 函数,C++函数应用练习，函数的定义，函数的调用，递归函数。,2018-04-04 15:55:01
177,第3阶段 Java高级特性,本章节主要介绍了Java的几种高级特性，例如IO流、集合、线程、反射以及JDBC连接数据库等。,2018-04-09 13:40:28
178,第4阶段 Mysql数据库,本章节主要介绍了MySQL的数据库、表的基本操作操作以及一些常用的查询方式。,2018-04-09 13:40:50
179,第5阶段 前端基础,本章节介绍了HTML/CSS/jQuery等常用语法的使用。,2018-04-09 13:41:21
180,第6阶段 JavaWeb,本章节主要介绍了JSP的使用，以及基于JSP的一些项目实战。,2018-04-09 13:42:08
181,第7阶段 框架,你将掌握目前Java企业开发常用的框架：Spring、SpringMVC、Mybatis、Maven、Lucene&solr、Hibernate等。,2018-04-09 13:43:18
182,第8阶段 综合项目一,前端使用BootStrap框架，后端使用Spring，SpringMVC，Mybatis等框架，带你从零开始搭建一个前后端结合的个人博客网站。,2018-04-09 13:43:37
183,第9阶段 版本控制工具,本章节介绍了Git的使用，主要包括版本库、分支管理、版本回退，以及合并冲突。,2018-04-09 13:46:10
184,第10阶段 Linux系统,本章节为Linux的一些基本操作，如用户管理、文件/目录的操作等。,2018-04-09 13:46:22
185,第4章 数学题,C++综合练习，将前三个部分所学知识综合运用。,2018-04-13 16:29:19
186,第5章  排序,c++排序练习，涉及到开发中常用的几种排序，如选择排序，冒泡等。,2018-04-13 16:37:00
191,第一部分 Linux系统高级编程进阶,,2018-04-17 09:48:53
192,第二部分 Linux编译进阶,,2018-04-17 10:04:33
203,Chap1-图像处理绪论与基本知识,本章主要介绍BMP图像的格式，并对不同位数的BMP图像进行读与写操作。,2018-05-14 11:35:37
204,Chap2-图像变换,本章主要介绍图像变换相关内容，并对图像进行二维离散傅立叶变换。,2018-05-14 11:37:40
205,Chap3-图像增强,本章主要介绍图像增强的相关内容，并对图像进行增强处理。,2018-05-14 11:37:51
206,Chap4-彩色图像处理,本章主要介绍彩色图像处理的内容， 并对彩色图像进行处理。,2018-05-14 11:38:09
207,Chap5-图像分割,本章主要介绍图像分割的内容， 并对图像进行分割处理。,2018-05-14 11:38:21
208,Chap6-图像编码与压缩,本章主要介绍图像编码与压缩的内容，并对图像进行编解码处理。,2018-05-14 11:38:35
209,第一阶段-网络的基本表示方法,,2018-05-14 18:28:43
210,第二阶段-网络的路径与连通性,,2018-05-17 09:35:30
220,数据结构-栈的应用,,2018-06-19 16:54:16
221,数据结构-队列的应用,,2018-06-19 16:54:47
222,数据结构-二叉树的应用,,2018-06-19 16:55:22
224,数据结构-排序算法,,2018-06-19 16:56:05
225,第1阶段 - 基础知识储备,,2018-06-20 00:37:21
226,第7章 Linux 远程联机服务,本章主要讲解Linux操作系统上常见的远程联机服务软件，常见的有telnet、SSH和Rsh等。,2018-06-20 08:49:58
227,第8章 Linux网络实战,本章主要讲解Linux操作系统上常见的服务器架设方法，常见的服务器有www、ftp、samba和DNS。,2018-06-20 08:50:24
228,第7章 Pytorch 之神经网络,"Pytorch 实现神经网络
介绍使用 PyTorch 在 MNIST 数据集上训练 MLP 和 CNN",2018-06-20 10:10:18
229,第一阶段-数据类型与数据输入,本章节讲述了R语言的数据结构以及数据输入与输出。,2018-06-21 17:08:57
231,基本操作,该部分的实训介绍SQLite3数据库的基本操作，是学习SQL语法的必要基础。,2018-06-21 18:45:36
232,基础查询语法,该部分的实训介绍SQLite3数据库的基础查询语法，主要是针对单张表的查询。,2018-06-21 18:49:53
233,进阶查询语法,该部分的实训介绍SQLite3数据库的进阶查询语法，升级为对多张表的查询。,2018-06-21 18:51:11
234,数据修改语法,该部分的实训介绍SQLite3数据库的数据修改语法。,2018-06-21 19:16:38
235,Ruby基础教程,本阶段提供了 Ruby 入门级实训项目，将从基本语法、数据类型、迭代器、文件操作以及面向对象编程等几个方面让大家对 Ruby 有一个基本的全面的了解，为后续学习打下坚实的基础。,2018-06-22 08:41:40
236,通过 Rails 5 学习 Web 开发,本阶段通过开发一个完整的微博类网站，了解并掌握 Ruby on Rails 的 MVC 架构，让大家熟悉 Web 开发的流程，积攒 Web 开发经验，为后续学习打下坚实的基础。,2018-06-22 08:58:26
237,第三阶段-网络的关联矩阵,,2018-06-24 13:41:03
238,第四阶段-网络中的树与二分网络,,2018-06-24 13:43:18
240,第五部分-网络中的连通分量,,2018-06-24 13:46:17
241,第六阶段-二分网络的应用,,2018-06-24 13:46:49
242,第二阶段-基本数据管理,本章节主要介绍了运算符使用、变量的创建和修改以及缺失值的处理。,2018-06-24 13:57:02
243,第三阶段-时间值处理,本章节介绍了R语言如何处理时间类数据。,2018-06-24 13:59:25
244,第四阶段-数据与观测的基本操作,本章节介绍了数据的一些基本操作，如合并、提取。删除以及观测数据。,2018-06-24 14:00:08
245,第五阶段-数学函数与统计函数,本章节介绍了数学函数与统计函数的定义与使用。,2018-06-24 14:01:07
246,第六阶段-字符函数与其他类函数,本章节介绍了字符处理函数以及其他函数的使用。,2018-06-24 14:02:18
248,初体验,,2018-07-02 10:37:35
249,第一部分：Hadoop基础 - 核心功能,掌握和理解Hadoop的核心功能是学习Hadoop以及Hadoop衍生框架的前提。,2018-07-05 15:19:36
251,第2阶段 - 数学专题,,2018-07-10 10:12:48
253,jQuery 选择器和事件,本章将介绍 jQuery 基础的语法和 jQuery 的一些简单操作，帮助学员快速入门和实现一些简单的效果。主要包括 jQuery的引入、基础的选择器和操作 CSS 的方法。,2018-07-20 14:17:52
254,jQuery效果,本章将介绍实现 jQuery 效果常用的方法和自定义动画。主要包括隐藏/显示、淡入/淡出、上下滑动和创建动画需要具备的速度、延迟、停止等要素。,2018-07-20 14:27:26
255,jQuery Dom元素,本章将介绍 jQuery 对 DOM 元素的一些操作。包括对元素内容的获取，设置和对Dom节点的添加，删除，遍历。,2018-07-20 14:32:54
256,Python零基础到精通之：Python基础篇——初体验,,2018-07-24 14:47:40
257,Python零基础到精通之：Python基础篇——基本数据类型,,2018-07-24 14:57:07
258,Python零基础到精通之：Python基础篇,,2018-07-24 15:02:26
259,Python零基础到精通之：Python进阶篇——面向对象,,2018-07-24 15:23:38
260,Python零基础到精通之：Python进阶篇,,2018-07-24 15:29:01
261,Python零基础到精通之：Python进阶篇——数据库,,2018-07-24 15:31:02
262,Python零基础到精通之：Python高级篇——数据分析,,2018-07-24 15:33:02
263,Python零基础到精通之：Python高级篇——机器学习1,,2018-07-24 15:37:58
264,Python零基础到精通之：Python高级篇——机器学习2,,2018-07-24 15:40:37
265,Python零基础到精通之：Python高级篇——爬虫框架Scrapy实战学习,,2018-07-24 15:41:58
266,Python零基础到精通之：Python高级篇——Web框架Django实战学习之html基础,,2018-07-24 15:43:25
268,第一部分：SqlServer基础,本阶段主要介绍数据库的基础知识，通过本阶段的学习，你可以了解数据库的基本概念、数据库的构成和SqlServer的基础知识。,2018-07-30 16:53:44
271,阿道夫,爱的,2018-08-01 23:30:06
272,地方,爱的,2018-08-02 08:04:38
275,基本命令理解及使用,,2018-08-13 10:24:16
276,类与对象,,2018-08-17 16:45:16
277,运算符重载,,2018-08-17 16:50:22
278,包装类与复杂类,,2018-08-17 16:52:48
279,继承、虚函数,,2018-08-17 16:53:56
280,线性表队列与栈,本章节介绍了循环链表和线性表的设计与实现以及栈和队列的使用。,2018-08-19 17:16:12
281,二叉树,本章介绍了二叉搜索树的创建、删除、查找，以及二叉树的遍历方式。,2018-08-19 17:17:34
282,常用算法,本章主要介绍了Java中的五种排序方法以及图算法。,2018-08-19 17:18:12
283,第六章 数组,C++数组练习，涉及到二维数组、排序输出等,2018-08-20 10:31:24
284,第七章 字符串,,2018-08-20 10:49:04
285,第八章 指针,,2018-08-20 10:49:41
286,第九章 链表,C++链表练习题，涉及创建、合并、操作等,2018-08-20 10:50:53
287,第十章 数据结构,,2018-08-20 10:55:05
288,初识Scrapy爬虫,对Scrapy框架没有任何了解，甚至对爬虫都没有了解的同学，可以从本章开始接触爬虫爬取数据的方法。本章涉及部分MySQL数据库的知识，不熟悉的同学可以学习一下。,2018-08-29 15:10:47
289,Scrapy爬虫进阶,学会了Scrapy框架的运行原理，我们可以尝试用它去爬取热门网站数据。,2018-08-29 15:13:58
290,数据分析,数据我们都获取到了，就该试着分析一下，并用图表把他们展示出来了。本章涉及知识点还有MongoDB的使用和Pandas分析数据的方法，同学们都了解一下更利于学习。,2018-08-29 15:15:18
