teacher_id,gender,technical_title
36074,1.0,讲师
36308,0.0,工程师
36416,0.0,教授
36479,0.0,
36480,0.0,工程师
36481,0.0,工程师
36549,1.0,教授
36895,0.0,
37656,0.0,高级工程师
37691,0.0,副教授
38528,0.0,
38566,0.0,工程师
38716,0.0,
38768,0.0,
39364,1.0,讲师
39375,1.0,副教授
39861,0.0,讲师
39876,1.0,副教授
42003,0.0,
43970,1.0,讲师
44422,0.0,助教
45360,0.0,副教授
46839,1.0,讲师
47018,0.0,副教授
47203,0.0,副教授
47501,0.0,教授
49342,0.0,助教
49426,1.0,讲师
50066,1.0,副教授
50244,0.0,教授
50657,0.0,
50861,0.0,
51667,0.0,副教授
53393,0.0,讲师
53502,0.0,
53523,0.0,
53634,1.0,副教授
54364,1.0,讲师
54636,1.0,工程师
55071,0.0,副教授
55166,0.0,教授
56747,0.0,副教授
56823,1.0,讲师
57267,0.0,高级工程师
57278,0.0,高级工程师
57280,0.0,工程师
57281,0.0,助教
57383,0.0,副教授
57427,1.0,副教授
57626,1.0,副教授
57844,0.0,工程师
57872,0.0,教授
58384,1.0,副教授
58388,0.0,副教授
58929,1.0,讲师
60750,1.0,讲师
60969,0.0,讲师
60971,0.0,高级工程师
62809,1.0,工程师
62812,1.0,高级工程师
62963,0.0,工程师
63274,0.0,
64251,1.0,助教
64991,0.0,教授
65360,0.0,副教授
67048,0.0,
67856,0.0,副教授
69673,1.0,
70691,1.0,
70692,0.0,
70753,0.0,
71169,1.0,
71519,1.0,教授
71522,0.0,讲师
71976,0.0,副教授
71989,0.0,
72610,0.0,工程师
72731,0.0,副教授
72788,0.0,
72991,0.0,教授
73026,0.0,教授
73891,0.0,教授
74024,0.0,讲师
74034,0.0,教授
74037,0.0,教授
75564,1.0,
75739,0.0,教授
75771,0.0,副教授
76132,0.0,
76828,1.0,
77213,1.0,
77617,0.0,
77650,0.0,
79043,1.0,副教授
79307,0.0,高级工程师
79550,1.0,讲师
79796,0.0,
80349,0.0,高级工程师
80369,0.0,讲师
81361,1.0,副教授
81376,0.0,讲师
81508,1.0,助教
81602,0.0,
81975,1.0,
82323,1.0,副教授
82847,0.0,助教
82981,0.0,讲师
83173,0.0,
83181,1.0,副教授
83330,1.0,工程师
83863,1.0,讲师
83865,0.0,
83870,0.0,
83892,1.0,讲师
83895,1.0,讲师
83899,1.0,副教授
83907,0.0,工程师
83937,1.0,讲师
83938,1.0,讲师
83985,1.0,教授
84009,0.0,副教授
84059,0.0,讲师
84775,0.0,副教授
84789,0.0,
84949,1.0,副教授
84960,0.0,讲师
85144,0.0,教授
85169,1.0,讲师
85238,1.0,副教授
85547,0.0,教授
85606,1.0,讲师
85609,1.0,讲师
91487,0.0,讲师
91490,0.0,
91532,1.0,副教授
91578,1.0,讲师
91606,0.0,讲师
92630,1.0,
94595,1.0,讲师
95074,0.0,讲师
96698,0.0,
97072,1.0,
97913,0.0,副教授
98810,0.0,讲师
99031,0.0,教授
99138,0.0,讲师
99496,0.0,企业管理者
100155,1.0,助教
103720,0.0,
105112,0.0,
105292,0.0,
105515,0.0,
106096,0.0,
106550,0.0,
106619,0.0,
107669,0.0,讲师
107769,0.0,
108202,0.0,
108455,0.0,副教授
108604,1.0,教授
110862,0.0,
111133,0.0,
111494,0.0,讲师
113471,0.0,教授
115636,1.0,讲师
117379,0.0,副教授
118955,0.0,讲师
119137,0.0,副教授
120332,0.0,部门管理者
120944,1.0,副教授
121435,0.0,教授
121811,0.0,讲师
121931,0.0,
122437,1.0,副教授
124327,0.0,讲师
124883,0.0,讲师
125231,0.0,讲师
125586,0.0,
125869,1.0,教授
127926,0.0,教授
127961,0.0,副教授
129155,1.0,
129204,0.0,
129262,0.0,工程师
129425,1.0,
129471,0.0,
129617,1.0,副教授
129689,1.0,
130336,0.0,
130357,0.0,工程师
130721,1.0,讲师
131190,0.0,副教授
131399,0.0,讲师
131418,1.0,教授
131431,0.0,讲师
131494,0.0,副教授
131661,1.0,副教授
131700,0.0,讲师
133743,0.0,
134571,1.0,副教授
135445,1.0,
136727,1.0,讲师
137676,0.0,讲师
137818,1.0,工程师
138802,1.0,副教授
139301,1.0,讲师
139562,0.0,讲师
140715,0.0,讲师
141622,1.0,讲师
141643,1.0,副教授
141962,1.0,副教授
142872,0.0,讲师
142992,0.0,
143649,0.0,
146355,0.0,讲师
146918,0.0,讲师
147503,0.0,副教授
147646,0.0,教授
148200,0.0,
150607,0.0,副教授
151944,1.0,讲师
152193,0.0,助教
152198,0.0,教授
152524,0.0,副教授
153567,0.0,
154177,0.0,副教授
154671,0.0,讲师
158254,0.0,
159888,1.0,
160477,1.0,讲师
160504,1.0,助理工程师
161170,1.0,
162206,0.0,副教授
162663,1.0,助教
163894,1.0,讲师
165227,1.0,教授
168522,0.0,
170260,0.0,讲师
173040,1.0,讲师
174424,1.0,副教授
175417,0.0,副教授
184514,1.0,讲师
184632,1.0,副教授
185588,0.0,教授
187139,0.0,教授
190529,0.0,讲师
190948,0.0,副教授
191009,1.0,
193462,0.0,
194438,0.0,高级工程师
194848,0.0,讲师
194902,1.0,助理工程师
196082,0.0,副教授
196984,0.0,副教授
198052,0.0,教授
200294,0.0,副教授
201092,0.0,讲师
201337,0.0,教授
202521,0.0,
205076,0.0,讲师
205101,1.0,副教授
205857,1.0,教授
205892,0.0,副教授
207325,1.0,讲师
218367,1.0,副教授
219534,1.0,讲师
221843,0.0,教授
222551,0.0,副教授
222941,0.0,副教授
222989,1.0,副教授
223712,0.0,讲师
223782,1.0,助教
224239,1.0,助教
224547,1.0,助教
224604,0.0,讲师
229572,1.0,教授
236107,0.0,讲师
241427,0.0,
241682,1.0,副教授
241729,0.0,讲师
243337,0.0,讲师
243375,1.0,讲师
245379,1.0,讲师
248472,0.0,副教授
250040,1.0,教授
254118,0.0,讲师
255812,0.0,
262355,0.0,副教授
262954,0.0,
268369,1.0,助教
268684,0.0,
269363,0.0,
270851,1.0,副教授
274313,0.0,教授
274591,0.0,助教
274743,0.0,
276400,0.0,讲师
280171,0.0,讲师
280263,1.0,
280827,0.0,讲师
283291,1.0,副教授
285677,0.0,
285770,0.0,讲师
286497,0.0,工程师
286907,0.0,
292158,0.0,副教授
295228,0.0,
298669,0.0,副教授
299058,0.0,讲师
299766,0.0,教授
300750,1.0,
304460,0.0,
305875,0.0,
306089,1.0,讲师
306235,0.0,工程师
307546,1.0,讲师
308453,1.0,讲师
309523,0.0,企业管理者
309668,0.0,讲师
309823,0.0,讲师
310370,0.0,
310377,0.0,教授
319116,0.0,
321284,,
322878,1.0,讲师
324563,1.0,副教授
324750,1.0,讲师
326930,1.0,教授
333865,0.0,教授
336258,0.0,教授
341159,0.0,
342342,0.0,
348304,0.0,
350571,1.0,副教授
353759,0.0,企业管理者
357966,1.0,
361137,0.0,
365493,0.0,
379899,0.0,
379902,1.0,
384939,0.0,讲师
391337,1.0,副教授
394136,0.0,讲师
394573,0.0,副教授
396201,0.0,讲师
396629,0.0,教授
397056,1.0,
397681,1.0,讲师
401102,0.0,教授
406017,1.0,讲师
414711,0.0,副教授
425219,0.0,教授
433152,0.0,
434736,0.0,
437100,0.0,
455864,0.0,教授
458973,0.0,
465767,0.0,工程师
